pokerId Ascore Bscore 
3127235821 0 538277
2250788107 1 12951
125892965 0 744407
2177727751 1 15651
41772235103 0 694011
11447841359 0 646968
21767165 1 49145
30432242123 1 46429
2567853335 3 2246
2272418837 1 42797
35972912687 0 697399
5463873883 1 45752
21482166 1 49868
70441058 1 30243
3642113833 1 12967
57800785 1 50061
8080371319 0 646952
26208505109 1 33200
52142011417 1 43520
56130969029 0 701253
295139119 0 527672
11777151121 0 700967
9338566921 1 42378
4330695233 3 1519
346450351 1 9828
30079163867 0 643385
38927120131 1 42635
124749294401 1 46506
200330 1 48422
17536425433 1 30078
16042984823 2 2150
416532927 0 741036
2645741359 0 581928
23871453703 1 46487
88317543949 1 26740
55676028269 1 46264
8497969849 1 35897
4810993553 0 700487
239493803 0 473447
3477866 2 3244
3561132161 0 645813
11215898459 1 35644
3234960429 0 755259
23082551123 1 36319
168511879841 1 40238
1096122077 1 12695
6262540661 0 697577
102856411 0 736938
1150638191 2 1407
8954374 1 10103
350012662 5 755195
388151277 0 744634
1305060001 0 755448
4316114993 3 2117
27661766 0 755147
10626361399 0 646533
5846273597 1 25954
1133771153 1 12964
2778855231 1 47182
38324540171 1 39963
6028075961 1 19686
96509941 1 15797
157510614493 2 3056
9145584277 1 36753
1272171785 0 744651
2410884307 1 29327
31887833069 0 592775
41370294263 0 693786
654307889 1 12259
54840963 0 744587
25707348907 0 592759
8606350549 3 2119
211335935 0 744154
6256305877 0 700488
1925323055 0 755015
3969401791 0 592292
15525055 1 50312
32883919771 1 26496
10134065203 0 585545
33425457 0 744137
29289700369 1 39035
1422218593 0 534663
225331777 0 675947
876932753 0 477063
352477507 0 679322
5935566271 1 35418
202441067 0 375572
36341612771 1 46429
19154776957 1 38795
195041757 1 20181
147425929 0 743928
30555630659 1 29616
67723634 0 755177
233633391 1 30288
37028679703 0 646999
38068373383 0 697370
2819219981 0 588677
3162361207 1 19234
214034882 0 744409
1787409577 1 16548
25209347399 0 694009
554112445 1 47103
804436023 1 30336
1472653867 1 16338
38345209 1 13429
1584154 1 10068
18055592707 1 46457
456191489 0 679547
168606955 0 755402
